Id,Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
1,14.891,3606,283,2,34,11,No,No,Yes,South,333
2,106.025,6645,483,3,82,15,Yes,Yes,Yes,West,903
3,104.593,7075,514,4,71,11,No,No,No,West,580
4,148.924,9504,681,3,36,11,Yes,No,No,West,964
5,55.882,4897,357,2,68,16,No,No,Yes,South,331
6,80.18,8047,569,4,77,10,No,No,No,South,1151
7,20.996,3388,259,2,37,12,Yes,No,No,East,203
8,71.408,7114,512,2,87,9,No,No,No,West,872
9,15.125,3300,266,5,66,13,Yes,No,No,South,279
10,71.061,6819,491,3,41,19,Yes,Yes,Yes,East,1350
11,63.095,8117,589,4,30,14,No,No,Yes,South,1407
12,15.045,1311,138,3,64,16,No,No,No,South,0
13,80.616,5308,394,1,57,7,Yes,No,Yes,West,204
14,43.682,6922,511,1,49,9,No,No,Yes,South,1081
15,19.144,3291,269,2,75,13,Yes,No,No,East,148
16,20.089,2525,200,3,57,15,Yes,No,Yes,East,0
17,53.598,3714,286,3,73,17,Yes,No,Yes,East,0
18,36.496,4378,339,3,69,15,Yes,No,Yes,West,368
19,49.57,6384,448,1,28,9,Yes,No,Yes,West,891
20,42.079,6626,479,2,44,9,No,No,No,West,1048
21,17.7,2860,235,4,63,16,Yes,No,No,West,89
22,37.348,6378,458,1,72,17,Yes,No,No,South,968
23,20.103,2631,213,3,61,10,No,No,Yes,East,0
24,64.027,5179,398,5,48,8,No,No,Yes,East,411
25,10.742,1757,156,3,57,15,Yes,No,No,South,0
26,14.09,4323,326,5,25,16,Yes,No,Yes,East,671
27,42.471,3625,289,6,44,12,Yes,Yes,No,South,654
28,32.793,4534,333,2,44,16,No,No,No,East,467
29,186.634,13414,949,2,41,14,Yes,No,Yes,East,1809
30,26.813,5611,411,4,55,16,Yes,No,No,South,915
31,34.142,5666,413,4,47,5,Yes,No,Yes,South,863
32,28.941,2733,210,5,43,16,No,No,Yes,West,0
33,134.181,7838,563,2,48,13,Yes,No,No,South,526
34,31.367,1829,162,4,30,10,No,No,Yes,South,0
35,20.15,2646,199,2,25,14,Yes,No,Yes,West,0
36,23.35,2558,220,3,49,12,Yes,Yes,No,South,419
37,62.413,6457,455,2,71,11,Yes,No,Yes,South,762
38,30.007,6481,462,2,69,9,Yes,No,Yes,South,1093
39,11.795,3899,300,4,25,10,Yes,No,No,South,531
40,13.647,3461,264,4,47,14,No,No,Yes,South,344
41,34.95,3327,253,3,54,14,Yes,No,No,East,50
42,113.659,7659,538,2,66,15,No,Yes,Yes,East,1155
43,44.158,4763,351,2,66,13,Yes,No,Yes,West,385
44,36.929,6257,445,1,24,14,Yes,No,Yes,West,976
45,31.861,6375,469,3,25,16,Yes,No,Yes,South,1120
46,77.38,7569,564,3,50,12,Yes,No,Yes,South,997
47,19.531,5043,376,2,64,16,Yes,Yes,Yes,West,1241
48,44.646,4431,320,2,49,15,No,Yes,Yes,South,797
49,44.522,2252,205,6,72,15,No,No,Yes,West,0
50,43.479,4569,354,4,49,13,No,Yes,Yes,East,902
51,36.362,5183,376,3,49,15,No,No,Yes,East,654
52,39.705,3969,301,2,27,20,No,No,Yes,East,211
53,44.205,5441,394,1,32,12,No,No,Yes,South,607
54,16.304,5466,413,4,66,10,No,No,Yes,West,957
55,15.333,1499,138,2,47,9,Yes,No,Yes,West,0
56,32.916,1786,154,2,60,8,Yes,No,Yes,West,0
57,57.1,4742,372,7,79,18,Yes,No,Yes,West,379
58,76.273,4779,367,4,65,14,Yes,No,Yes,South,133
59,10.354,3480,281,2,70,17,No,No,Yes,South,333
60,51.872,5294,390,4,81,17,Yes,No,No,South,531
61,35.51,5198,364,2,35,20,Yes,No,No,West,631
62,21.238,3089,254,3,59,10,Yes,No,No,South,108
63,30.682,1671,160,2,77,7,Yes,No,No,South,0
64,14.132,2998,251,4,75,17,No,No,No,South,133
65,32.164,2937,223,2,79,15,Yes,No,Yes,East,0
66,12,4160,320,4,28,14,Yes,No,Yes,South,602
67,113.829,9704,694,4,38,13,Yes,No,Yes,West,1388
68,11.187,5099,380,4,69,16,Yes,No,No,East,889
69,27.847,5619,418,2,78,15,Yes,No,Yes,South,822
70,49.502,6819,505,4,55,14,No,No,Yes,South,1084
71,24.889,3954,318,4,75,12,No,No,Yes,South,357
72,58.781,7402,538,2,81,12,Yes,No,Yes,West,1103
73,22.939,4923,355,1,47,18,Yes,No,Yes,West,663
74,23.989,4523,338,4,31,15,No,No,No,South,601
75,16.103,5390,418,4,45,10,Yes,No,Yes,South,945
76,33.017,3180,224,2,28,16,No,No,Yes,East,29
77,30.622,3293,251,1,68,16,No,Yes,No,South,532
78,20.936,3254,253,1,30,15,Yes,No,No,West,145
79,110.968,6662,468,3,45,11,Yes,No,Yes,South,391
80,15.354,2101,171,2,65,14,No,No,No,West,0
81,27.369,3449,288,3,40,9,Yes,No,Yes,South,162
82,53.48,4263,317,1,83,15,No,No,No,South,99
83,23.672,4433,344,3,63,11,No,No,No,South,503
84,19.225,1433,122,3,38,14,Yes,No,No,South,0
85,43.54,2906,232,4,69,11,No,No,No,South,0
86,152.298,12066,828,4,41,12,Yes,No,Yes,West,1779
87,55.367,6340,448,1,33,15,No,No,Yes,South,815
88,11.741,2271,182,4,59,12,Yes,No,No,West,0
89,15.56,4307,352,4,57,8,No,No,Yes,East,579
90,59.53,7518,543,3,52,9,Yes,No,No,East,1176
91,20.191,5767,431,4,42,16,No,No,Yes,East,1023
92,48.498,6040,456,3,47,16,No,No,Yes,South,812
93,30.733,2832,249,4,51,13,No,No,No,South,0
94,16.479,5435,388,2,26,16,No,No,No,East,937
95,38.009,3075,245,3,45,15,Yes,No,No,East,0
96,14.084,855,120,5,46,17,Yes,No,Yes,East,0
97,14.312,5382,367,1,59,17,No,Yes,No,West,1380
98,26.067,3388,266,4,74,17,Yes,No,Yes,East,155
99,36.295,2963,241,2,68,14,Yes,Yes,No,East,375
100,83.851,8494,607,5,47,18,No,No,No,South,1311
101,21.153,3736,256,1,41,11,No,No,No,South,298
102,17.976,2433,190,3,70,16,Yes,Yes,No,South,431
103,68.713,7582,531,2,56,16,No,Yes,No,South,1587
104,146.183,9540,682,6,66,15,No,No,No,South,1050
105,15.846,4768,365,4,53,12,Yes,No,No,South,745
106,12.031,3182,259,2,58,18,Yes,No,Yes,South,210
107,16.819,1337,115,2,74,15,No,No,Yes,West,0
108,39.11,3189,263,3,72,12,No,No,No,West,0
109,107.986,6033,449,4,64,14,No,No,Yes,South,227
110,13.561,3261,279,5,37,19,No,No,Yes,West,297
111,34.537,3271,250,3,57,17,Yes,No,Yes,West,47
112,28.575,2959,231,2,60,11,Yes,No,No,East,0
113,46.007,6637,491,4,42,14,No,No,Yes,South,1046
114,69.251,6386,474,4,30,12,Yes,No,Yes,West,768
115,16.482,3326,268,4,41,15,No,No,No,South,271
116,40.442,4828,369,5,81,8,Yes,No,No,East,510
117,35.177,2117,186,3,62,16,Yes,No,No,South,0
118,91.362,9113,626,1,47,17,No,No,Yes,West,1341
119,27.039,2161,173,3,40,17,Yes,No,No,South,0
120,23.012,1410,137,3,81,16,No,No,No,South,0
121,27.241,1402,128,2,67,15,Yes,No,Yes,West,0
122,148.08,8157,599,2,83,13,No,No,Yes,South,454
123,62.602,7056,481,1,84,11,Yes,No,No,South,904
124,11.808,1300,117,3,77,14,Yes,No,No,East,0
125,29.564,2529,192,1,30,12,Yes,No,Yes,South,0
126,27.578,2531,195,1,34,15,Yes,No,Yes,South,0
127,26.427,5533,433,5,50,15,Yes,Yes,Yes,West,1404
128,57.202,3411,259,3,72,11,Yes,No,No,South,0
129,123.299,8376,610,2,89,17,No,Yes,No,East,1259
130,18.145,3461,279,3,56,15,No,No,Yes,East,255
131,23.793,3821,281,4,56,12,Yes,Yes,Yes,East,868
132,10.726,1568,162,5,46,19,No,No,Yes,West,0
133,23.283,5443,407,4,49,13,No,No,Yes,East,912
134,21.455,5829,427,4,80,12,Yes,No,Yes,East,1018
135,34.664,5835,452,3,77,15,Yes,No,Yes,East,835
136,44.473,3500,257,3,81,16,Yes,No,No,East,8
137,54.663,4116,314,2,70,8,Yes,No,No,East,75
138,36.355,3613,278,4,35,9,No,No,Yes,West,187
139,21.374,2073,175,2,74,11,Yes,No,Yes,South,0
140,107.841,10384,728,3,87,7,No,No,No,East,1597
141,39.831,6045,459,3,32,12,Yes,Yes,Yes,East,1425
142,91.876,6754,483,2,33,10,No,No,Yes,South,605
143,103.893,7416,549,3,84,17,No,No,No,West,669
144,19.636,4896,387,3,64,10,Yes,No,No,East,710
145,17.392,2748,228,3,32,14,No,No,Yes,South,68
146,19.529,4673,341,2,51,14,No,No,No,West,642
147,17.055,5110,371,3,55,15,Yes,No,Yes,South,805
148,23.857,1501,150,3,56,16,No,No,Yes,South,0
149,15.184,2420,192,2,69,11,Yes,No,Yes,South,0
150,13.444,886,121,5,44,10,No,No,Yes,West,0
151,63.931,5728,435,3,28,14,Yes,No,Yes,East,581
152,35.864,4831,353,3,66,13,Yes,No,Yes,South,534
153,41.419,2120,184,4,24,11,Yes,Yes,No,South,156
154,92.112,4612,344,3,32,17,No,No,No,South,0
155,55.056,3155,235,2,31,16,No,No,Yes,East,0
156,19.537,1362,143,4,34,9,Yes,No,Yes,West,0
157,31.811,4284,338,5,75,13,Yes,No,Yes,South,429
158,56.256,5521,406,2,72,16,Yes,Yes,Yes,South,1020
159,42.357,5550,406,2,83,12,Yes,No,Yes,West,653
160,53.319,3000,235,3,53,13,No,No,No,West,0
161,12.238,4865,381,5,67,11,Yes,No,No,South,836
162,31.353,1705,160,3,81,14,No,No,Yes,South,0
163,63.809,7530,515,1,56,12,No,No,Yes,South,1086
164,13.676,2330,203,5,80,16,Yes,No,No,East,0
165,76.782,5977,429,4,44,12,No,No,Yes,West,548
166,25.383,4527,367,4,46,11,No,No,Yes,South,570
167,35.691,2880,214,2,35,15,No,No,No,East,0
168,29.403,2327,178,1,37,14,Yes,No,Yes,South,0
169,27.47,2820,219,1,32,11,Yes,No,Yes,West,0
170,27.33,6179,459,4,36,12,Yes,No,Yes,South,1099
171,34.772,2021,167,3,57,9,No,No,No,West,0
172,36.934,4270,299,1,63,9,Yes,No,Yes,South,283
173,76.348,4697,344,4,60,18,No,No,No,West,108
174,14.887,4745,339,3,58,12,No,No,Yes,East,724
175,121.834,10673,750,3,54,16,No,No,No,East,1573
176,30.132,2168,206,3,52,17,No,No,No,South,0
177,24.05,2607,221,4,32,18,No,No,Yes,South,0
178,22.379,3965,292,2,34,14,Yes,No,Yes,West,384
179,28.316,4391,316,2,29,10,Yes,No,No,South,453
180,58.026,7499,560,5,67,11,Yes,No,No,South,1237
181,10.635,3584,294,5,69,16,No,No,Yes,West,423
182,46.102,5180,382,3,81,12,No,No,Yes,East,516
183,58.929,6420,459,2,66,9,Yes,No,Yes,East,789
184,80.861,4090,335,3,29,15,Yes,No,Yes,West,0
185,158.889,11589,805,1,62,17,Yes,No,Yes,South,1448
186,30.42,4442,316,1,30,14,Yes,No,No,East,450
187,36.472,3806,309,2,52,13,No,No,No,East,188
188,23.365,2179,167,2,75,15,No,No,No,West,0
189,83.869,7667,554,2,83,11,No,No,No,East,930
190,58.351,4411,326,2,85,16,Yes,No,Yes,South,126
191,55.187,5352,385,4,50,17,Yes,No,Yes,South,538
192,124.29,9560,701,3,52,17,Yes,Yes,No,West,1687
193,28.508,3933,287,4,56,14,No,No,Yes,West,336
194,130.209,10088,730,7,39,19,Yes,No,Yes,South,1426
195,30.406,2120,181,2,79,14,No,No,Yes,East,0
196,23.883,5384,398,2,73,16,Yes,No,Yes,East,802
197,93.039,7398,517,1,67,12,No,No,Yes,East,749
198,50.699,3977,304,2,84,17,Yes,No,No,East,69
199,27.349,2000,169,4,51,16,Yes,No,Yes,East,0
200,10.403,4159,310,3,43,7,No,No,Yes,West,571
201,23.949,5343,383,2,40,18,No,No,Yes,East,829
202,73.914,7333,529,6,67,15,Yes,No,Yes,South,1048
203,21.038,1448,145,2,58,13,Yes,No,Yes,South,0
204,68.206,6784,499,5,40,16,Yes,Yes,No,East,1411
205,57.337,5310,392,2,45,7,Yes,No,No,South,456
206,10.793,3878,321,8,29,13,No,No,No,South,638
207,23.45,2450,180,2,78,13,No,No,No,South,0
208,10.842,4391,358,5,37,10,Yes,Yes,Yes,South,1216
209,51.345,4327,320,3,46,15,No,No,No,East,230
210,151.947,9156,642,2,91,11,Yes,No,Yes,East,732
211,24.543,3206,243,2,62,12,Yes,No,Yes,South,95
212,29.567,5309,397,3,25,15,No,No,No,South,799
213,39.145,4351,323,2,66,13,No,No,Yes,South,308
214,39.422,5245,383,2,44,19,No,No,No,East,637
215,34.909,5289,410,2,62,16,Yes,No,Yes,South,681
216,41.025,4229,337,3,79,19,Yes,No,Yes,South,246
217,15.476,2762,215,3,60,18,No,No,No,West,52
218,12.456,5395,392,3,65,14,No,No,Yes,South,955
219,10.627,1647,149,2,71,10,Yes,Yes,Yes,West,195
220,38.954,5222,370,4,76,13,Yes,No,No,South,653
221,44.847,5765,437,3,53,13,Yes,Yes,No,West,1246
222,98.515,8760,633,5,78,11,Yes,No,No,East,1230
223,33.437,6207,451,4,44,9,No,Yes,No,South,1549
224,27.512,4613,344,5,72,17,No,No,Yes,West,573
225,121.709,7818,584,4,50,6,No,No,Yes,South,701
226,15.079,5673,411,4,28,15,Yes,No,Yes,West,1075
227,59.879,6906,527,6,78,15,Yes,No,No,South,1032
228,66.989,5614,430,3,47,14,Yes,No,Yes,South,482
229,69.165,4668,341,2,34,11,Yes,No,No,East,156
230,69.943,7555,547,3,76,9,No,No,Yes,West,1058
231,33.214,5137,387,3,59,9,No,No,No,East,661
232,25.124,4776,378,4,29,12,No,No,Yes,South,657
233,15.741,4788,360,1,39,14,No,No,Yes,West,689
234,11.603,2278,187,3,71,11,No,No,Yes,South,0
235,69.656,8244,579,3,41,14,No,No,Yes,East,1329
236,10.503,2923,232,3,25,18,Yes,No,Yes,East,191
237,42.529,4986,369,2,37,11,No,No,Yes,West,489
238,60.579,5149,388,5,38,15,No,No,Yes,West,443
239,26.532,2910,236,6,58,19,Yes,No,Yes,South,52
240,27.952,3557,263,1,35,13,Yes,No,Yes,West,163
241,29.705,3351,262,5,71,14,Yes,No,Yes,West,148
242,15.602,906,103,2,36,11,No,No,Yes,East,0
243,20.918,1233,128,3,47,18,Yes,Yes,Yes,West,16
244,58.165,6617,460,1,56,12,Yes,No,Yes,South,856
245,22.561,1787,147,4,66,15,Yes,No,No,South,0
246,34.509,2001,189,5,80,18,Yes,No,Yes,East,0
247,19.588,3211,265,4,59,14,Yes,No,No,West,199
248,36.364,2220,188,3,50,19,No,No,No,South,0
249,15.717,905,93,1,38,16,No,Yes,Yes,South,0
250,22.574,1551,134,3,43,13,Yes,Yes,Yes,South,98
251,10.363,2430,191,2,47,18,Yes,No,Yes,West,0
252,28.474,3202,267,5,66,12,No,No,Yes,South,132
253,72.945,8603,621,3,64,8,Yes,No,No,South,1355
254,85.425,5182,402,6,60,12,No,No,Yes,East,218
255,36.508,6386,469,4,79,6,Yes,No,Yes,South,1048
256,58.063,4221,304,3,50,8,No,No,No,East,118
257,25.936,1774,135,2,71,14,Yes,No,No,West,0
258,15.629,2493,186,1,60,14,No,No,Yes,West,0
259,41.4,2561,215,2,36,14,No,No,Yes,South,0
260,33.657,6196,450,6,55,9,Yes,No,No,South,1092
261,67.937,5184,383,4,63,12,No,No,Yes,West,345
262,180.379,9310,665,3,67,8,Yes,Yes,Yes,West,1050
263,10.588,4049,296,1,66,13,Yes,No,Yes,South,465
264,29.725,3536,270,2,52,15,Yes,No,No,East,133
265,27.999,5107,380,1,55,10,No,No,Yes,South,651
266,40.885,5013,379,3,46,13,Yes,No,Yes,East,549
267,88.83,4952,360,4,86,16,Yes,No,Yes,South,15
268,29.638,5833,433,3,29,15,Yes,No,Yes,West,942
269,25.988,1349,142,4,82,12,No,No,No,South,0
270,39.055,5565,410,4,48,18,Yes,No,Yes,South,772
271,15.866,3085,217,1,39,13,No,No,No,South,136
272,44.978,4866,347,1,30,10,Yes,No,No,South,436
273,30.413,3690,299,2,25,15,Yes,Yes,No,West,728
274,16.751,4706,353,6,48,14,No,Yes,No,West,1255
275,30.55,5869,439,5,81,9,Yes,No,No,East,967
276,163.329,8732,636,3,50,14,No,No,Yes,South,529
277,23.106,3476,257,2,50,15,Yes,No,No,South,209
278,41.532,5000,353,2,50,12,No,No,Yes,South,531
279,128.04,6982,518,2,78,11,Yes,No,Yes,South,250
280,54.319,3063,248,3,59,8,Yes,Yes,No,South,269
281,53.401,5319,377,3,35,12,Yes,No,No,East,541
282,36.142,1852,183,3,33,13,Yes,No,No,East,0
283,63.534,8100,581,2,50,17,Yes,No,Yes,South,1298
284,49.927,6396,485,3,75,17,Yes,No,Yes,South,890
285,14.711,2047,167,2,67,6,No,No,Yes,South,0
286,18.967,1626,156,2,41,11,Yes,No,Yes,West,0
287,18.036,1552,142,2,48,15,Yes,No,No,South,0
288,60.449,3098,272,4,69,8,No,No,Yes,South,0
289,16.711,5274,387,3,42,16,Yes,No,Yes,West,863
290,10.852,3907,296,2,30,9,No,No,No,South,485
291,26.37,3235,268,5,78,11,No,No,Yes,West,159
292,24.088,3665,287,4,56,13,Yes,No,Yes,South,309
293,51.532,5096,380,2,31,15,No,No,Yes,South,481
294,140.672,11200,817,7,46,9,No,No,Yes,East,1677
295,42.915,2532,205,4,42,13,No,No,Yes,West,0
296,27.272,1389,149,5,67,10,Yes,No,Yes,South,0
297,65.896,5140,370,1,49,17,Yes,No,Yes,South,293
298,55.054,4381,321,3,74,17,No,No,Yes,West,188
299,20.791,2672,204,1,70,18,Yes,No,No,East,0
300,24.919,5051,372,3,76,11,Yes,No,Yes,East,711
301,21.786,4632,355,1,50,17,No,No,Yes,South,580
302,31.335,3526,289,3,38,7,Yes,No,No,South,172
303,59.855,4964,365,1,46,13,Yes,No,Yes,South,295
304,44.061,4970,352,1,79,11,No,No,Yes,East,414
305,82.706,7506,536,2,64,13,Yes,No,Yes,West,905
306,24.46,1924,165,2,50,14,Yes,No,Yes,West,0
307,45.12,3762,287,3,80,8,No,No,Yes,South,70
308,75.406,3874,298,3,41,14,Yes,No,Yes,West,0
309,14.956,4640,332,2,33,6,No,No,No,West,681
310,75.257,7010,494,3,34,18,Yes,No,Yes,South,885
311,33.694,4891,369,1,52,16,No,Yes,No,East,1036
312,23.375,5429,396,3,57,15,Yes,No,Yes,South,844
313,27.825,5227,386,6,63,11,No,No,Yes,South,823
314,92.386,7685,534,2,75,18,Yes,No,Yes,West,843
315,115.52,9272,656,2,69,14,No,No,No,East,1140
316,14.479,3907,296,3,43,16,No,No,Yes,South,463
317,52.179,7306,522,2,57,14,No,No,No,West,1142
318,68.462,4712,340,2,71,16,No,No,Yes,South,136
319,18.951,1485,129,3,82,13,Yes,No,No,South,0
320,27.59,2586,229,5,54,16,No,No,Yes,East,0
321,16.279,1160,126,3,78,13,No,Yes,Yes,East,5
322,25.078,3096,236,2,27,15,Yes,No,Yes,South,81
323,27.229,3484,282,6,51,11,No,No,No,South,265
324,182.728,13913,982,4,98,17,No,No,Yes,South,1999
325,31.029,2863,223,2,66,17,No,Yes,Yes,West,415
326,17.765,5072,364,1,66,12,Yes,No,Yes,South,732
327,125.48,10230,721,3,82,16,No,No,Yes,South,1361
328,49.166,6662,508,3,68,14,Yes,No,No,West,984
329,41.192,3673,297,3,54,16,Yes,No,Yes,South,121
330,94.193,7576,527,2,44,16,Yes,No,Yes,South,846
331,20.405,4543,329,2,72,17,No,Yes,No,West,1054
332,12.581,3976,291,2,48,16,No,No,Yes,South,474
333,62.328,5228,377,3,83,15,No,No,No,South,380
334,21.011,3402,261,2,68,17,No,No,Yes,East,182
335,24.23,4756,351,2,64,15,Yes,No,Yes,South,594
336,24.314,3409,270,2,23,7,Yes,No,Yes,South,194
337,32.856,5884,438,4,68,13,No,No,No,South,926
338,12.414,855,119,3,32,12,No,No,Yes,East,0
339,41.365,5303,377,1,45,14,No,No,No,South,606
340,149.316,10278,707,1,80,16,No,No,No,East,1107
341,27.794,3807,301,4,35,8,Yes,No,Yes,East,320
342,13.234,3922,299,2,77,17,Yes,No,Yes,South,426
343,14.595,2955,260,5,37,9,No,No,Yes,East,204
344,10.735,3746,280,2,44,17,Yes,No,Yes,South,410
345,48.218,5199,401,7,39,10,No,No,Yes,West,633
346,30.012,1511,137,2,33,17,No,No,Yes,South,0
347,21.551,5380,420,5,51,18,No,No,Yes,West,907
348,160.231,10748,754,2,69,17,No,No,No,South,1192
349,13.433,1134,112,3,70,14,No,No,Yes,South,0
350,48.577,5145,389,3,71,13,Yes,No,Yes,West,503
351,30.002,1561,155,4,70,13,Yes,No,Yes,South,0
352,61.62,5140,374,1,71,9,No,No,Yes,South,302
353,104.483,7140,507,2,41,14,No,No,Yes,East,583
354,41.868,4716,342,2,47,18,No,No,No,South,425
355,12.068,3873,292,1,44,18,Yes,No,Yes,West,413
356,180.682,11966,832,2,58,8,Yes,No,Yes,East,1405
357,34.48,6090,442,3,36,14,No,No,No,South,962
358,39.609,2539,188,1,40,14,No,No,Yes,West,0
359,30.111,4336,339,1,81,18,No,No,Yes,South,347
360,12.335,4471,344,3,79,12,No,No,Yes,East,611
361,53.566,5891,434,4,82,10,Yes,No,No,South,712
362,53.217,4943,362,2,46,16,Yes,No,Yes,West,382
363,26.162,5101,382,3,62,19,Yes,No,No,East,710
364,64.173,6127,433,1,80,10,No,No,Yes,South,578
365,128.669,9824,685,3,67,16,No,No,Yes,West,1243
366,113.772,6442,489,4,69,15,No,Yes,Yes,South,790
367,61.069,7871,564,3,56,14,No,No,Yes,South,1264
368,23.793,3615,263,2,70,14,No,No,No,East,216
369,89,5759,440,3,37,6,Yes,No,No,South,345
370,71.682,8028,599,3,57,16,No,No,Yes,South,1208
371,35.61,6135,466,4,40,12,No,No,No,South,992
372,39.116,2150,173,4,75,15,No,No,No,South,0
373,19.782,3782,293,2,46,16,Yes,Yes,No,South,840
374,55.412,5354,383,2,37,16,Yes,Yes,Yes,South,1003
375,29.4,4840,368,3,76,18,Yes,No,Yes,South,588
376,20.974,5673,413,5,44,16,Yes,No,Yes,South,1000
377,87.625,7167,515,2,46,10,Yes,No,No,East,767
378,28.144,1567,142,3,51,10,No,No,Yes,South,0
379,19.349,4941,366,1,33,19,No,No,Yes,South,717
380,53.308,2860,214,1,84,10,No,No,Yes,South,0
381,115.123,7760,538,3,83,14,Yes,No,No,East,661
382,101.788,8029,574,2,84,11,No,No,Yes,South,849
383,24.824,5495,409,1,33,9,No,Yes,No,South,1352
384,14.292,3274,282,9,64,9,No,No,Yes,South,382
385,20.088,1870,180,3,76,16,No,No,No,East,0
386,26.4,5640,398,3,58,15,Yes,No,No,West,905
387,19.253,3683,287,4,57,10,No,No,No,East,371
388,16.529,1357,126,3,62,9,No,No,No,West,0
389,37.878,6827,482,2,80,13,Yes,No,No,South,1129
390,83.948,7100,503,2,44,18,No,No,No,South,806
391,135.118,10578,747,3,81,15,Yes,No,Yes,West,1393
392,73.327,6555,472,2,43,15,Yes,No,No,South,721
393,25.974,2308,196,2,24,10,No,No,No,West,0
394,17.316,1335,138,2,65,13,No,No,No,East,0
395,49.794,5758,410,4,40,8,No,No,No,South,734
396,12.096,4100,307,3,32,13,No,No,Yes,South,560
397,13.364,3838,296,5,65,17,No,No,No,East,480
398,57.872,4171,321,5,67,12,Yes,No,Yes,South,138
399,37.728,2525,192,1,44,13,No,No,Yes,South,0
400,18.701,5524,415,5,64,7,Yes,No,No,West,966